StudyID,RefID,Author,Year,Predator,Field or Mesocosm,lifestage,effect_size
1,1,Baxter et al.,2004,rainbow trout,F,BenthicRR,0.54
1,1,Baxter et al.,2004,rainbow trout,F,EmergenceRR,0.64
2,1,Wesner,2012,Etheostoma spectabile,M,BenthicRR,0.53
2,1,Wesner,2012,Etheostoma spectabile,M,EmergenceRR,0.89
2,2,Wesner,2012,Cyprinella lutrensis,M,BenthicRR,0.9500000000000001
2,2,Wesner,2012,Cyprinella lutrensis,M,EmergenceRR,0.8600000000000001
2,3,Wesner,2012,Gambusia affinis,M,BenthicRR,0.9
2,3,Wesner,2012,Gambusia affinis,M,EmergenceRR,0.6699999999999999
2,3,Wesner,2012,ES+GA,M,BenthicRR,0.46
2,3,Wesner,2012,ES+GA,M,EmergenceRR,0.6699999999999999
2,3,Wesner,2012,ES+CL,M,BenthicRR,0.97
2,3,Wesner,2012,ES+CL,M,EmergenceRR,0.6699999999999999
2,3,Wesner,2012,GA+CL,M,BenthicRR,2.2
2,3,Wesner,2012,GA+CL,M,EmergenceRR,0.6699999999999999
2,4,Wesner,2012,ES/CL/GA,M,BenthicRR,0.6599999999999999
2,4,Wesner,2012,ES/CL/GA,M,EmergenceRR,0.62
2,1,Wesner,2012,Etheostoma spectabile,M,BenthicRR,0.53
2,1,Wesner,2012,Etheostoma spectabile,M,EmergenceRR,0.89
2,2,Wesner,2012,Cyprinella lutrensis,M,BenthicRR,0.9500000000000001
2,2,Wesner,2012,Cyprinella lutrensis,M,EmergenceRR,0.8600000000000001
2,3,Wesner,2012,Gambusia affinis,M,BenthicRR,0.9
2,3,Wesner,2012,Gambusia affinis,M,EmergenceRR,0.6699999999999999
2,3,Wesner,2012,ES+GA,M,BenthicRR,0.46
2,3,Wesner,2012,ES+GA,M,EmergenceRR,0.6699999999999999
2,3,Wesner,2012,ES+CL,M,BenthicRR,0.97
2,3,Wesner,2012,ES+CL,M,EmergenceRR,0.6699999999999999
2,3,Wesner,2012,GA+CL,M,BenthicRR,2.2
2,3,Wesner,2012,GA+CL,M,EmergenceRR,0.6699999999999999
2,4,Wesner,2012,ES/CL/GA,M,BenthicRR,0.6599999999999999
2,4,Wesner,2012,ES/CL/GA,M,EmergenceRR,0.62
2,5,Wesner,2012,Etheostoma spectabile,M,BenthicRR,NA
2,5,Wesner,2012,Etheostoma spectabile,M,EmergenceRR,0.9
2,5,Wesner,2012,Etheostoma spectabile,M,BenthicRR,NA
2,5,Wesner,2012,Etheostoma spectabile,M,EmergenceRR,0.9
2,6,Wesner,2012,Cyprinella lutrensis,M,BenthicRR,NA
2,6,Wesner,2012,Cyprinella lutrensis,M,EmergenceRR,0.9400000000000001
2,7,Wesner,2012,Gambusia affinis,M,BenthicRR,NA
2,7,Wesner,2012,Gambusia affinis,M,EmergenceRR,0.96
2,3,Wesner,2012,ES+GA,M,BenthicRR,NA
2,3,Wesner,2012,ES+GA,M,EmergenceRR,0.6699999999999999
2,3,Wesner,2012,ES+CL,M,BenthicRR,NA
2,3,Wesner,2012,ES+CL,M,EmergenceRR,0.6699999999999999
2,3,Wesner,2012,GA+CL,M,BenthicRR,NA
2,3,Wesner,2012,GA+CL,M,EmergenceRR,0.6699999999999999
2,8,Wesner,2012,ES/CL/GA,M,BenthicRR,NA
2,8,Wesner,2012,ES/CL/GA,M,EmergenceRR,0.62
3,1,Benjamin,2013,Cutthroat,F,BenthicRR,1.01
3,1,Benjamin,2013,Cutthroat,F,EmergenceRR,0.91
3,2,Benjamin,2013,Brook low,F,BenthicRR,1.44
3,2,Benjamin,2013,Brook low,F,EmergenceRR,0.41000000000000003
3,3,Benjamin,2013,Brook high,F,BenthicRR,0.73
3,3,Benjamin,2013,Brook high,F,EmergenceRR,1
3,3,Benjamin,2013,Cutthroat,F,BenthicRR,0.41000000000000003
3,3,Benjamin,2013,Cutthroat,F,EmergenceRR,0.36
3,3,Benjamin,2013,Brook low,F,BenthicRR,0.17
3,3,Benjamin,2013,Brook low,F,EmergenceRR,0.02
3,3,Benjamin,2013,Brook high,F,BenthicRR,0.18
3,3,Benjamin,2013,Brook high,F,EmergenceRR,0.21000000000000002
4,1,Wesner,2010,C. lutrensis,M,BenthicRR,0
4,1,Wesner,2010,C. lutrensis,M,EmergenceRR,0.22
4,2,Wesner,2010,E. spectabile,M,BenthicRR,0
4,2,Wesner,2010,E. spectabile,M,EmergenceRR,0.13
5,1,Merkley,2011,Least chub,M,BenthicRR,0
5,1,Merkley,2011,Least chub,M,EmergenceRR,0.77
5,2,Merkley,2011,Utah chub,M,BenthicRR,0
5,2,Merkley,2011,Utah chub,M,EmergenceRR,0.61
5,3,Merkley,2011,Western mosquitofish,M,BenthicRR,0
5,3,Merkley,2011,Western mosquitofish,M,EmergenceRR,0.41000000000000003
5,4,Merkley,2011,MF/UC,M,BenthicRR,0
5,4,Merkley,2011,MF/UC,M,EmergenceRR,0.47000000000000003
5,5,Merkley,2011,LC/UC,M,BenthicRR,0
5,5,Merkley,2011,LC/UC,M,EmergenceRR,0.56
5,6,Merkley,2011,MF/UC/LC,M,BenthicRR,0
5,6,Merkley,2011,MF/UC/LC,M,EmergenceRR,0.37
5,7,Merkley,2011,Western mosquitofish,M,BenthicRR,0
5,7,Merkley,2011,Western mosquitofish,M,EmergenceRR,0.11
5,8,Merkley,2011,Least chub,M,BenthicRR,0
